Address,FaxNo,POIID,POIName,SpecialStore_Kind,Store_URL,Telno,X,Y,city_name,is7WiFi,isATM,isCityCafe,isCorn,isDining,isFruit,isHealthStations,isHotDog,isIbon,isIce,isIceCream,isLavatory,isMakeup,isMisterDonuts,isMuji,isOpenStore,isOrganic,isParking,isStarBucks,isSweetPotato,isTea,isUnionPay,town_name,logitude,latitude,company
台北市信義區吳興街252號,(02)27339253        ,978798              ,北醫,,,(02)27325119        ,121563533.40099,25027177.8662635,台北市,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.56353340099,25.0271778662635,7-11
台北市信義區吳興街250號1樓,(02)27390651        ,153216              ,北醫大,,,(02)27393090        ,121562224.400032,25026986.8656184,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.562224400032,25.0269868656184,7-11
台北市信義區市府路45號B1之53,(02)81018532        ,153294              ,台金,,,(02)81018195        ,121564101.401623,25033579.8886105,台北市,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,信義區,121.56410140162299,25.0335798886105,7-11
台北市信義區忠孝東路五段6號1樓,(02)27222354        ,990721              ,市捷,,,(02)23453310        ,121565136.0,25040914.0,台北市,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,信義區,121.565136,25.040914,7-11
台北市信義區基隆路1段178號180號1樓,(02)27640660        ,110585              ,必成,,,(02)27640912        ,121564947.402547,25042566.9199801,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,信義區,121.564947402547,25.0425669199801,7-11
台北市信義區永吉路30巷103號,(02)37652331        ,135241              ,永信,,,(02)27469874        ,121568836.0,25043534.0,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,信義區,121.568836,25.043534,7-11
台北市信義區忠孝東路五段524巷1弄1號,(02)27266636        ,930637              ,光東,,,(02)23467948        ,121579504.0,25041152.0,台北市,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,信義區,121.579504,25.041152,7-11
台北市信義區光復南路471號,(02)27255694        ,136716              ,光復,,,(02)27290723        ,121557644.0,25033679.0,台北市,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,信義區,121.557644,25.033679,7-11
台北市信義區吳興街284巷18弄2號,(02)23784241        ,164490              ,吳興,,,(02)27388391        ,121563441.0,25024536.0,台北市,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.563441,25.024536,7-11
台北市信義區松仁路91-1號1樓,(02)87802905        ,981901              ,宏泰,全台最大,,(02)87804531        ,121568655.0,25036845.0,台北市,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,信義區,121.568655,25.036845,7-11
台北市信義區忠孝東路五段470號1樓,(02)87895332        ,144315              ,忠林,,,(02)87893751        ,121576851.0,25040657.0,台北市,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,信義區,121.576851,25.040657,7-11
台北市信義區基隆路二段131-4號,(02)87323269        ,883382              ,昌隆,,,(02)87323266        ,121556730.0,25028011.0,台北市,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.55673,25.028011,7-11
台北市信義區忠孝東路4段514號,(02)27208821        ,127723              ,東暉,,,(02)27205019        ,121562485.0,25040821.0,台北市,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,信義區,121.562485,25.040821,7-11
