期別,開獎日,兌獎截止,銷售金額,獎金總額,獎號_1,獎號_2,獎號_3,獎號_4,獎號_5,獎號_6,特別號,頭獎_中獎注數,貳獎_中獎注數,參獎_中獎注數,肆獎_中獎注數,伍獎_中獎注數,陸獎_中獎注數,柒獎_中獎注數,普獎_中獎注數,頭獎_單注獎金,貳獎_單注獎金,參獎_單注獎金,肆獎_單注獎金,伍獎_單注獎金,陸獎_單注獎金,柒獎_單注獎金,普獎_單注獎金,頭獎_累積至次期獎金,貳獎_累積至次期獎金,參獎_累積至次期獎金,肆獎_累積至次期獎金,伍獎_累積至次期獎金
104000086,104/10/09,105/01/09,83547500,45951125,35,02,08,27,22,43,24,0,0,32,77,1522,2033,21218,28282,0,0,45221,12528,1743,1000,400,400,17606231,1447087,0,0,0
104000085,104/10/06,105/01/06,90126650,131867408,08,10,28,03,38,47,13,1,1,32,96,1964,2518,23829,33176,100000000,1454979,45468,10104,1358,1000,400,400,0,0,0,0,0
104000084,104/10/02,105/01/02,93075000,53069195,44,11,45,36,41,15,35,0,1,45,81,1621,2188,21204,29456,0,3602300,38319,14192,1950,1000,400,400,20979652,0,0,0,0
104000083,104/09/29,104/12/29,103286350,146899155,01,35,03,25,44,31,15,1,0,32,97,1572,2510,25995,31501,100000000,0,108685,22906,7190,2000,400,400,0,1877945,0,0,0
104000082,104/09/25,104/12/25,183553350,508311909,13,38,25,21,09,39,02,3,2,88,186,3944,4684,45882,65161,138115453,1655594,85354,21151,6446,2000,400,400,0,0,0,0,0
104000081,104/09/22,104/12/22,146848300,421956920,47,46,06,10,39,44,30,0,4,58,105,2179,2898,32053,41717,0,725408,50028,18423,2441,1000,400,400,376493567,0,0,0,0
104000080,104/09/18,104/12/18,119009400,284107050,16,06,17,41,37,36,28,0,1,42,120,2099,3128,31879,38639,0,4416301,48742,11373,1788,1000,400,400,241190355,0,0,0,0
104000079,104/09/15,104/12/15,124085200,255705544,44,13,30,34,31,02,39,0,0,34,93,1912,2719,28950,36157,0,0,69679,16982,2271,1000,400,400,216282777,2369103,0,0,0
104000078,104/09/11,104/12/11,117633700,227734095,41,10,05,29,18,44,30,0,1,32,120,2228,3085,30831,39562,0,2007380,62730,11152,1651,1000,400,400,187458684,0,0,0,0
104000077,104/09/08,104/12/08,108396300,201475667,08,31,43,28,36,32,09,0,2,66,104,2509,2846,29535,39868,0,870322,26373,11157,1271,1000,400,400,163035560,0,0,0,0
104000076,104/09/04,104/12/04,104898300,173998800,20,49,46,19,44,47,09,0,1,28,83,1732,2196,23252,27983,0,2100243,75008,16869,2223,1000,400,400,141857702,0,0,0,0
104000075,104/09/01,104/12/01,91256650,151715242,20,48,40,18,19,09,03,0,2,30,67,1528,2282,23676,28877,0,3230417,53775,16052,1935,1000,400,400,116304735,0,0,0,0
104000074,104/08/28,104/11/28,85272950,129633487,15,11,46,40,08,12,16,0,0,10,72,1611,2178,22156,30185,0,0,142714,13214,1624,1000,400,400,96676527,4847558,0,0,0
104000073,104/08/25,104/11/25,89369750,108603404,45,22,13,26,47,15,49,0,0,18,63,1384,1684,18412,26580,0,0,98241,18712,2342,1000,400,400,79312950,3420415,0,0,0
104000072,104/08/21,104/11/21,93314500,89020862,20,10,15,21,36,27,45,0,0,44,64,1975,2141,20587,33532,0,0,37546,17208,1533,1000,400,400,57797980,1652062,0,0,0
104000071,104/08/18,104/11/18,87547500,66471655,29,49,30,08,20,42,21,0,1,32,74,1603,2028,21203,27744,0,1592659,49770,14348,1821,1000,400,400,37697887,0,0,0,0
104000070,104/08/14,104/11/14,88325850,50120770,13,23,42,05,24,14,35,0,4,28,88,1892,2139,21217,32142,0,761837,53778,11407,1459,1000,400,400,18320530,0,0,0,0
104000069,104/08/11,104/11/11,88240300,129776593,45,43,46,02,35,01,14,1,0,38,81,1813,2434,22117,28897,100000000,0,40567,12687,1558,1000,400,400,0,1541553,0,0,0
104000068,104/08/07,104/11/07,91110050,69485139,25,36,28,27,37,26,38,0,7,55,134,2075,2503,21340,32311,0,434330,28524,7805,1386,1000,400,400,36990525,0,0,0,0
104000067,104/08/04,104/11/04,87468050,48107427,48,12,03,19,17,38,43,0,0,35,71,1790,2285,21342,31902,0,0,42042,13816,1507,1000,400,400,17903123,1471489,0,0,0
104000066,104/07/31,104/10/31,135902550,357878206,30,40,13,16,32,18,29,1,1,37,89,2140,3016,32778,39463,312162640,4808025,69460,19251,2201,1000,400,400,0,0,0,0,0
104000065,104/07/28,104/10/28,121792650,320650954,49,32,06,27,15,44,16,0,0,45,92,2287,2705,27576,39877,0,0,49733,16217,1794,1000,400,400,280893819,2237985,0,0,0
104000064,104/07/24,104/10/24,119557850,293349560,25,10,12,42,33,39,29,0,1,42,100,2102,2899,29720,38136,0,2142925,51022,14286,1869,1000,400,400,253664997,0,0,0,0
104000063,104/07/21,104/10/21,114050650,267656687,16,44,40,09,08,39,28,0,1,53,126,2469,3301,31540,39411,0,1862787,35146,9856,1383,1000,400,400,227592743,0,0,0,0
104000062,104/07/17,104/10/17,109929200,242510187,33,04,27,07,20,40,38,0,1,48,107,2138,2771,27983,37887,0,1880523,39177,11716,1612,1000,400,400,204928830,0,0,0,0
104000061,104/07/14,104/10/14,103961200,216377722,45,30,10,12,14,19,41,0,1,34,81,1970,2298,23338,35610,0,1878087,55237,15457,1747,1000,400,400,182049127,0,0,0,0
104000060,104/07/10,104/10/10,91289250,189853284,06,05,26,13,47,29,33,0,1,33,84,1856,2116,20827,32437,0,1607249,48704,12755,1587,1000,400,400,159199062,0,0,0,0
104000059,104/07/07,104/10/07,96455500,183492919,46,33,01,27,14,42,41,0,1,32,75,1702,1951,20003,29929,0,15388309,58362,16600,2011,1000,400,400,139644197,0,0,0,0
104000058,104/07/03,104/10/03,95468350,158646433,21,23,29,41,46,28,24,0,0,31,86,1538,1954,21327,28147,0,0,59543,14308,2200,1000,400,400,116921688,13520706,0,0,0
104000057,104/06/30,104/09/30,92409000,133287531,18,35,19,48,46,32,47,0,0,28,69,1492,1943,20390,26890,0,0,64221,17373,2209,1000,400,400,94463974,11674867,0,0,0
104000056,104/06/26,104/09/26,98944450,118092158,06,12,05,41,29,28,07,0,0,42,129,2215,3282,30069,38313,0,0,33978,7375,1181,1000,400,400,72585911,9876670,0,0,0
104000055,104/06/23,104/09/23,96565950,93475767,45,02,13,35,33,43,05,0,0,31,79,1649,2174,23594,29989,0,0,57104,14938,1968,1000,400,400,55223119,8449592,0,0,0
104000054,104/06/19,104/09/19,180718250,135397743,18,11,05,25,38,03,15,0,0,83,197,4073,5607,52240,66870,0,0,83357,19369,6246,2000,400,400,33685147,6679348,0,0,0
104000053,104/06/16,104/09/16,131255600,236367946,35,41,04,25,03,45,07,1,0,45,104,2206,3626,34630,40410,190720037,0,51398,14826,1922,1000,400,400,0,3910706,0,0,0
104000052,104/06/12,104/09/12,96869950,96418240,28,08,24,22,19,26,18,0,0,47,92,2025,2565,25710,34499,0,0,33995,11578,1446,1000,400,400,62579574,1597792,0,0,0
104000051,104/06/09,104/09/09,96829200,84464281,37,03,20,27,44,34,12,0,2,35,84,1476,2521,26627,28322,0,5392632,49295,13693,2143,1000,400,400,43139768,0,0,0,0
104000050,104/06/05,104/09/05,96573300,60354847,41,08,48,32,21,35,34,0,0,16,79,1718,2048,20467,31351,0,0,113775,15362,1942,1000,400,400,22148283,9059938,0,0,0
104000049,104/06/02,104/09/02,209943200,564050805,07,01,20,19,46,47,13,1,0,70,169,3550,4887,50741,66715,491586006,0,54513,15053,1970,1000,400,400,0,7239532,0,0,0
104000048,104/05/29,104/08/29,197116950,511919345,02,34,32,11,28,05,24,0,0,67,165,3744,4908,48868,67249,0,0,51098,13832,1676,1000,400,400,445158474,3423571,0,0,0
104000047,104/05/26,104/08/26,168554400,464170448,10,26,45,11,02,20,30,0,3,88,201,3863,5422,46620,61863,0,877794,29924,8734,1249,1000,400,400,403505023,0,0,0,0
104000046,104/05/22,104/08/22,146169250,423379208,23,03,43,28,37,21,05,0,1,34,143,2645,4413,42554,49864,0,2340773,68846,10912,1622,1000,400,400,371465528,0,0,0,0
104000045,104/05/19,104/08/19,152802300,396055202,46,16,15,42,29,39,14,0,1,48,97,2347,3188,34748,44790,0,7767886,61297,20221,2298,1000,400,400,342986121,0,0,0,0
104000044,104/05/15,104/08/15,146249150,359771173,27,32,18,06,29,03,40,0,0,57,149,3134,3677,34609,53874,0,0,43544,11105,1451,1000,400,400,307188334,4825603,0,0,0
104000043,104/05/12,104/08/12,136995100,323824122,01,23,29,31,13,33,17,0,0,59,132,2728,3551,35122,46719,0,0,39721,11836,1574,1000,400,400,276990547,2343594,0,0,0
104000042,104/05/08,104/08/08,126275600,288270118,44,15,02,28,10,49,39,0,1,33,101,2090,2625,27912,37585,0,2437666,73868,16090,2138,1000,400,400,248476817,0,0,0,0
104000041,104/05/05,104/08/05,116785200,254266747,44,41,28,42,49,08,30,0,2,31,74,1707,2267,24713,31625,0,1182889,76315,21313,2540,1000,400,400,218818538,0,0,0,0
104000040,104/05/01,104/08/01,110751700,228307201,15,49,25,29,47,08,09,0,1,36,93,1920,3015,31469,35739,0,1860914,51692,13339,1776,1000,400,400,190034887,0,0,0,0
104000039,104/04/28,104/07/28,113853600,210540360,03,44,36,26,12,05,23,0,2,42,130,2328,3264,32444,40718,0,2149375,42986,9258,1421,1000,400,400,167393766,0,0,0,0
